time,velocity_difference,in_Xvf
0,3.6,0
1,3.2552,1
2,3.2794996608,1
3,3.39912388443008,1
4,3.53598853839197,1
5,3.66541338813725,0
6,3.78052316608522,0
7,3.88061054529787,0
8,3.96696375262101,0
9,4.04135022372912,0
10,4.10549056263957,0
11,4.16090229150109,0
12,4.2088768199934,0
